Qty,References,Value,Footprint,MPN / 備考,DNP
5,C1 C31 C41 C51 C61,10uF/50V,Capacitor_SMD:C_1206_3216Metric,Murata GRM31CR61H106KA12L (X5R 1206),
1,C3,1uF/50V,Capacitor_SMD:C_0603_1608Metric,Murata GRM188R61H105KAALD (X5R 1608),
1,C4,1uF/25V,Capacitor_SMD:C_0402_1005Metric,Murata GRM155R61E105KA12D (X5R 1005),
6,C5 C6 C30 C40 C50 C60,0.1uF/50V,Capacitor_SMD:C_0402_1005Metric,Murata GRM155R71H104KE14D (X7R 1005),
2,C7 C8,100uF/25V,Capacitor_SMD:CP_Elec_8x6.2,Panasonic EEE-FK1E101P (8x6.2mm),
3,C71 C72 C73,1nF/50V,Capacitor_SMD:C_0402_1005Metric,Murata GRM155R71H102KA01D (X7R 1005),
1,D1,SMBJ16A,Diode_SMD:D_SMB,SMBJ16A (Vwm 16V),
1,D9,SMAJ20A,Diode_SMD:D_SMA,SMAJ20A (USB 側サージ),
1,F1,10A,mPB:Fuse_Littelfuse_NANO2_2410,"Littelfuse 0451010.MRL (NANO2 2410, 10A 速断)",
1,F3,5A,Fuse:Fuse_1812_4532Metric,1812 5A 速断ヒューズ (例: Bourns SF-1812F500),
1,J1,SOCK_L,Connector_PinSocket_2.54mm:PinSocket_1x21_P2.54mm_Vertical,2.54mm 1x21 ピンソケット (標準 8.5mm 高),
1,J2,SOCK_R,Connector_PinSocket_2.54mm:PinSocket_1x21_P2.54mm_Vertical,2.54mm 1x21 ピンソケット (標準 8.5mm 高),
1,J3,PWR_IN,Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Vertical,"2.54mm 2x6 ピンヘッダ (1-6 = VIN, 7-12 = GND, 各 6 本並列)",
1,J4,MOTOR,Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical,2.54mm 2x8 ピンヘッダ (各出力 4 本並列),
1,JP5,ISEL_B,Jumper:SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm_NumberLabels,はんだジャンパ 3 端子 (1-2 ブリッジ済み: HB1 / 2-3: HB2),
1,JP7,ISEL_A,Jumper:SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm_NumberLabels,はんだジャンパ 3 端子 (1-2 ブリッジ済み: HB0 レッグ / 2-3: バス電流),
8,Q1 Q2 Q3 Q4 Q5 Q6 Q7 Q8,TPN1R603PL,Package_SO:Vishay_PowerPAK_1212-8_Single,"Toshiba TPN1R603PL,L1Q (30V 1.6mΩ Qg 41nC)",
1,Q9,TPN2R304PL,Package_SO:Vishay_PowerPAK_1212-8_Single,"Toshiba TPN2R304PL,L1Q (40V 2.3mΩ, 理想ダイオード)",
1,Q10,TPN1R603PL,Package_SO:Vishay_PowerPAK_1212-8_Single,"Toshiba TPN1R603PL,L1Q (USB 側 理想ダイオード)",
1,R6,100k,Resistor_SMD:R_0402_1005Metric,,
1,R11,110k 1%,Resistor_SMD:R_0402_1005Metric,,
1,R12,10k 1%,Resistor_SMD:R_0402_1005Metric,,
8,R30 R32 R40 R42 R50 R52 R60 R62,47R,Resistor_SMD:R_0402_1005Metric,,
8,R31 R33 R41 R43 R51 R53 R61 R63,20k,Resistor_SMD:R_0402_1005Metric,,
5,R34 R44 R54 R64 R70,10mR 1% 2W,Resistor_SMD:R_2512_6332Metric,2512 2W (例: Bourns CRA2512-FZ-R010ELF),
3,R71 R74 R77,20k 1%,Resistor_SMD:R_0402_1005Metric,,
3,R72 R75 R78,3k 1%,Resistor_SMD:R_0402_1005Metric,,
1,TH1,10k B3435,Resistor_SMD:R_0402_1005Metric,NTC 10kΩ B3435 1005 (例: Murata NCP15XH103F03RC) — MOSFET 近傍,
1,U2,78L05,Package_TO_SOT_SMD:SOT-89-3,"78L05 (SOT-89, Vin ≤30V)",
2,U4 U5,LM74700-Q1,Package_TO_SOT_SMD:SOT-23-6,TI LM74700QDBVRQ1,
